"","Package","LibPath","Version","Priority","Built"
"90","gh","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.1",NA,"3.4.1"
"91","git2r","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.21.0",NA,"3.4.3"
"92","glmnet","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0-16",NA,"3.4.4"
"93","globals","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.12.0",NA,"3.4.2"
"94","glue","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.0",NA,"3.4.4"
"95","gower","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.2",NA,"3.4.0"
"96","gplots","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.0.1",NA,"3.4.0"
"97","graphics","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"98","grDevices","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"99","grid","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"100","gridExtra","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.3",NA,"3.4.1"
"101","gtable","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.0"
"102","gtools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.5.0",NA,"3.4.0"
"103","haven","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.1",NA,"3.4.3"
"104","here","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1",NA,"3.4.0"
"105","hexbin","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.27.2",NA,"3.4.3"
"106","highr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7",NA,"3.4.2"
"107","Hmisc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","4.1-1",NA,"3.4.3"
"108","hms","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.2",NA,"3.4.4"
"109","htmlTable","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.12",NA,"3.4.4"
"110","htmltools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.6",NA,"3.4.0"
"111","htmlwidgets","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2",NA,"3.4.4"
"112","httpuv","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.3",NA,"3.4.4"
"113","httr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.1",NA,"3.4.1"
"114","igraph","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.1",NA,"3.4.4"
"115","iml","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5.1",NA,"3.4.4"
"116","ini","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.1",NA,"3.4.4"
"117","inline","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.15",NA,"3.4.4"
"118","inum","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0-0",NA,"3.4.3"
"119","ipred","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9-6",NA,"3.4.0"
"120","ISLR","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2",NA,"3.4.2"
"121","iterators","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.9",NA,"3.4.3"
"122","itertools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-3",NA,"3.4.0"
"123","jomo","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.6-2",NA,"3.4.4"
"124","jpeg","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-8",NA,"3.4.0"
"125","jsonlite","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5",NA,"3.4.0"
"126","kableExtra","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9.0",NA,"3.4.4"
"127","kernlab","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9-26",NA,"3.4.4"
"128","KernSmooth","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.23-15","recommended","3.4.2"
"129","knitr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.20",NA,"3.4.3"
"130","labeling","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3",NA,"3.4.0"
"131","laeken","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.6",NA,"3.4.0"
"132","later","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7.3",NA,"3.4.2"
"133","lattice","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.20-35","recommended","3.4.2"
"134","latticeExtra","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6-28",NA,"3.4.0"
"135","lava","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.6.1",NA,"3.4.4"
"136","lazyeval","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.1",NA,"3.4.2"
"137","leaflet","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.1",NA,"3.4.4"
"138","libcoin","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0-1",NA,"3.4.3"
"139","lintr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.2",NA,"3.4.2"
"140","listenv","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7.0",NA,"3.4.3"
"141","lme4","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1-17",NA,"3.4.4"
"142","lmtest","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9-36",NA,"3.4.4"
"143","lubridate","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.7.4",NA,"3.4.4"
"144","magic","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5-8",NA,"3.4.3"
"145","magrittr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5",NA,"3.4.0"
"146","manipulateWidget","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.10.0",NA,"3.4.4"
"147","mapproj","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.6",NA,"3.4.4"
"148","maps","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.3.0",NA,"3.4.4"
"149","maptools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9-2",NA,"3.4.0"
"150","markdown","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8",NA,"3.4.0"
"151","MASS","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-47","recommended","3.4.2"
"152","Matrix","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2-11","recommended","3.4.2"
"153","MatrixModels","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4-1",NA,"3.4.0"
"154","memoise","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.0"
"155","methods","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"156","Metrics","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.4",NA,"3.4.4"
"157","mgcv","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8-20","recommended","3.4.2"
"158","mice","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.1.0",NA,"3.4.2"
"159","microbenchmark","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4-4",NA,"3.4.3"
"160","mime","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5",NA,"3.4.0"
"161","miniUI","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.1.1",NA,"3.4.4"
"162","minqa","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.4",NA,"3.4.0"
